name,calling_id,start_date,primary
Ernesto A. Deyro Jr.,27,,1
James G. Fantone,27,,1
G. Kenneth Lee,27,,1
Bartolome Madriaga,27,,1
Aretemio C. Maligon,27,,1
Ricard G. Manáhan,27,,1
Tomas S. Merdegia Jr.,27,,1
Jaime N. Rivera,27,,1
Jose Antonio San Gabriel,27,,1
Martiniano S. Soquila Jr.,27,,1
Tomasito S. Zapanta,27,,1
Jose A. Jimenez Alava,27,,1
Isaías Alcala,27,,1
Miguel A. Avila,27,,1
Carlos Ernesto Velasco Barron,27,,1
Víctor R. Calderón,27,,1
Daniel A. Cruzado,27,,1
Fernando P. Del Carpio,27,,1
John J. Gallego,27,,1
Fernando R. García,27,,1
Pedro E. Hernández,27,,1
Henry Herrera,27,,1
Enrique M. Loo,27,,1
Edgar A. Mantilla,27,,1
Enrique R. Mayorga,27,,1
Ricardo J. Nieves,27,,1
Roberto C. Pacheco,27,,1
Z. Rudy Palhua,27,,1
Domingo J. Perez,27,,1
Marco A. Quezada,27,,1
Oswaldo J. Soto,27,,1
Nefi M. Trujillo,27,,1
Harold Truque,27,,1
Jose R. Cardenas Vanegas,27,,1
Sergio Villa,27,,1
Juan F. Zorrilla,27,,1
Ricardo J. Battista,27,,1
Oscar Bedregal,27,,1
Jaime A. Bravo,27,,1
Gabriel A. Campos,27,,1
Carlos G. Cantero,27,,1
Juan P. Casco,27,,1
Leandro J. Curaba,27,,1
Julio N. Del Sero,27,,1
Luis A. Ferrizo,27,,1
Sergio A. Gómez,27,,1
Hernán D. Lucero,27,,1
David E. Mouhsen,27,,1
Lorenzo E. Norambuena,27,,1
Juan L. Orquera,27,,1
David A. Reyes,27,,1
Leonardo S. Rojas,27,,1
Marco N. Sosa,27,,1
Victor H. Suazo,27,,1
A. Enrique Texeira,27,,1
Leopoldo Zuñiga,27,,1
Rodney A. Ames,27,,1
Douglas W. Atwood,27,,1
Bradley S. Bateman,27,,1
Thaddeus M. Brown,27,,1
Fernando R. Castro,27,,1
Andrew J. Child,27,,1
Corbin E. Coombs,27,,1
John N. Craig,27,,1
Kenneth J. Firmage,27,,1
Spencer R. Griffin,27,,1
Kevin J. Hathaway,27,,0
Rodney H. Hillam,27,,1
Kirt L. Hodges,27,,1
Michael D. Jones,27,,1
J. Joseph Kiehl,27,,1
Stephen J. Larson,27,,1
Robert Mendenhall,27,,1
G. Michael Ortiz,27,,1
David J. Pickett,27,,1
Christopher R. Price,27,,1
Eric Baxter,27,,1
Michael P. Brady,27,,1
Michel J. Carter,27,,1
Robert M. Chaggares,27,,1
Nathan A. Craig,27,,1
Richard J. DeVries,27,,1
Shane T. Holdaway,27,,1
Nathan L. Johnson,27,,1
David S. Kinard,27,,1
David R. Marriott,27,,1
T. Michael Price,27,,1
Dominic R. Sénéchal,27,,1
Scott N. Taylor,27,,1
Brent B. Ward,27,,1
Daniel P. Amato,27,,1
Eric D. Bednar,27,,1
Steven L. Bodhaine,27,,1
Nathan R. Emery,27,,1
Jacob C. Fish,27,,1
C. Alan Gauldin,27,,1
